model,AUC_ROC,AUC_PR,Brier,Precision,Recall,F1
full (57 feat),0.7418051291700025,0.8092834621261824,0.2045411467552185,0.6871324646540475,0.760795566989907,0.7220902166665102
no_snapshot (54 feat),0.7152660345705982,0.7878330920559546,0.21831800043582916,0.6328325119463127,0.8360577874529982,0.7203867436288762
